accession	complete	completeSingle	completeDuplicated	fragmented	missing	total	lineageDb	score	kingdom	phylum	class	order	family	genus	species	name	count_tyrosinases
UP000000310	1055	1054	1	0	13	1068	sphingobacteriia_odb10	98		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pseudopedobacter	Pseudopedobacter saltans		
UP000236893	1020	1015	5	2	46	1068	sphingobacteriia_odb10	95		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea			
UP000315971	1002	999	3	3	63	1068	sphingobacteriia_odb10	94		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea			
UP000007590	1037	1027	10	2	29	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea canadensis		
UP000028992	1052	1048	4	0	16	1068	sphingobacteriia_odb10	98		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000031802	1059	1055	4	4	5	1068	sphingobacteriia_odb10	99		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000178216	1062	1058	4	0	6	1068	sphingobacteriia_odb10	99		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000192980	1038	1036	2	1	29	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000195951	1006	1003	3	10	52	1068	sphingobacteriia_odb10	95		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000198785	1040	1038	2	0	28	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000238642	1033	1030	3	0	35	1068	sphingobacteriia_odb10	96		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000245627	1020	1017	3	3	45	1068	sphingobacteriia_odb10	95		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000306808	1057	1056	1	1	10	1068	sphingobacteriia_odb10	99		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000308196	1066	1065	1	0	2	1068	sphingobacteriia_odb10	99		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000325105	1053	1050	3	2	13	1068	sphingobacteriia_odb10	98		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000472777	1037	1034	3	3	28	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000473835	1022	1022	0	1	45	1068	sphingobacteriia_odb10	95		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000614460	1039	1037	2	7	22	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000616201	1033	1033	0	1	34	1068	sphingobacteriia_odb10	96		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000294533	1040	1040	0	1	27	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000326921	1042	1041	1	2	24	1068	sphingobacteriia_odb10	97		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium			
UP000016584	1055	1030	25	1	12	1068	sphingobacteriia_odb10	98		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium paucimobilis		
UP000006258	1062	1061	1	2	4	1068	sphingobacteriia_odb10	99		Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium spiritivorum		
UP000078514	329	328	1	16	32	377	bacteroidetes-chlorobi_group_odb10	91		Balneolota	Balneolia	Balneolales	Balneolaceae	Balneola			
UP000280416	332	330	2	13	32	377	bacteroidetes-chlorobi_group_odb10	91		Balneolota	Balneolia	Balneolales	Balneolaceae	Balneola			
UP000184041	328	326	2	15	34	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius			
UP000218831	331	330	1	15	31	377	bacteroidetes-chlorobi_group_odb10	91		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius			
UP000317593	322	318	4	19	36	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius			
UP000324595	330	329	1	13	34	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius			
UP000479132	329	328	1	13	35	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Fodinibius			
UP000317557	337	336	1	11	29	377	bacteroidetes-chlorobi_group_odb10	92		Balneolota	Balneolia	Balneolales	Balneolaceae	Gracilimonas			
UP000473278	327	326	1	14	36	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Halalkalibaculum			
UP000233398	331	328	3	11	35	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter			
UP000245533	324	321	3	17	36	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter			
UP000263328	330	329	1	13	34	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Balneolaceae	Rhodohalobacter			
UP000254808	328	324	4	15	34	377	bacteroidetes-chlorobi_group_odb10	90		Balneolota	Balneolia	Balneolales	Cyclonatronaceae	Cyclonatronum			
UP000673975	332	329	3	14	31	377	bacteroidetes-chlorobi_group_odb10	91		Balneolota	Balneolia	Balneolales	Cyclonatronaceae	Natronogracilivirga			
UP000015857	177	174	3	9	33	219	proteobacteria_odb10	84		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax			
UP000015895	175	171	4	11	33	219	proteobacteria_odb10	84		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax			
UP000612995	98	98	0	8	18	124	bacteria_odb10	85		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax			
UP000235584	179	176	3	11	29	219	proteobacteria_odb10	86		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax			
UP000237396	173	170	3	11	35	219	proteobacteria_odb10	84		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax			
UP000008963	179	176	3	10	30	219	proteobacteria_odb10	86		Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax marinus		
UP000075320	184	182	2	7	28	219	proteobacteria_odb10	87		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio			
UP000640405	112	110	2	2	10	124	bacteria_odb10	91		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio			
UP000197566	118	117	1	4	2	124	bacteria_odb10	98		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio			
UP000316460	119	118	1	3	2	124	bacteria_odb10	98		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio			
UP000008080	185	183	2	5	29	219	proteobacteria_odb10	86		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Bdellovibrio	Bdellovibrio bacteriovorus		
UP000009286	190	190	0	3	26	219	proteobacteria_odb10	88		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Micavibrio	Micavibrio aeruginosavorus		
UP000012040	185	181	4	5	29	219	proteobacteria_odb10	86		Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Pseudobdellovibrio	Pseudobdellovibrio exovorus		
UP000610699	114	114	0	4	6	124	bacteria_odb10	95		Bdellovibrionota	Oligoflexia						
UP000653894	161	159	2	9	49	219	proteobacteria_odb10	77		Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Oligoflexus		Oligoflexus sp.	3.0
UP000192907	183	180	3	12	24	219	proteobacteria_odb10	89		Bdellovibrionota	Oligoflexia	Oligoflexales	Pseudobacteriovoracaceae	Pseudobacteriovorax			
UP000253934	161	160	1	15	43	219	proteobacteria_odb10	80		Bdellovibrionota	Oligoflexia	Silvanigrellales		Spirobacillus			
UP000442694	164	163	1	16	39	219	proteobacteria_odb10	82		Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Fluviispira			
UP000184731	164	163	1	14	41	219	proteobacteria_odb10	81		Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella			
UP000004793	93	92	1	10	21	124	bacteria_odb10	83		Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	Caldisericum exile		
UP000004671	122	122	0	1	1	124	bacteria_odb10	99		Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	Caldithrix abyssi		
UP000194141	241	232	9	1	17	259	deltaproteobacteria_odb10	93		Campylobacterota	Desulfurellia	Desulfurellales	Desulfurellaceae	Desulfurella			
UP000008139	248	248	0	0	11	259	deltaproteobacteria_odb10	95		Campylobacterota	Desulfurellia	Desulfurellales	Hippeaceae	Hippea	Hippea maritima		
UP000001136	617	607	10	2	9	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter butzleri		
UP000251135	612	601	11	3	13	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter			
UP000516527	612	605	7	1	15	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter			
UP000000939	616	598	18	2	10	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter nitrofigilis		
UP000290657	618	607	11	2	8	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Candidatus Marinarcus			
UP000290191	620	608	12	1	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter			
UP000253850	613	603	10	2	13	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter			
UP000233248	616	606	10	2	10	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Malaciobacter			
UP000186074	608	593	15	2	18	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Poseidonibacter			
UP000069632	596	594	2	0	32	628	campylobacterales_odb10	94		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000240535	577	577	0	0	51	628	campylobacterales_odb10	91		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000306069	623	623	0	1	4	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000476338	575	575	0	1	52	628	campylobacterales_odb10	91		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000552683	621	621	0	0	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000594749	591	591	0	1	36	628	campylobacterales_odb10	94		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000194309	623	622	1	3	2	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000502820	624	624	0	0	4	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000509414	615	613	2	3	10	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter			
UP000201169	626	626	0	0	2	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter avium		
UP000006380	620	618	2	0	8	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus		
UP000000760	623	622	1	2	3	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus		
UP000005709	580	579	1	6	42	628	campylobacterales_odb10	93		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter gracilis		
UP000002407	592	590	2	0	36	628	campylobacterales_odb10	94		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hominis		
UP000000799	628	628	0	0	0	628	campylobacterales_odb10	100		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter jejuni		
UP000007727	624	624	0	0	4	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter lari		
UP000503264	616	615	1	0	12	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter mucosalis		
UP000190868	608	607	1	1	19	628	campylobacterales_odb10	96		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter pinnipediorum		
UP000254920	615	610	5	2	11	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sputorum		
UP000014539	591	590	1	1	36	628	campylobacterales_odb10	94		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter ureolyticus		
UP000029714	573	573	0	11	44	628	campylobacterales_odb10	92		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000029733	625	624	1	0	3	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000029920	622	621	1	1	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000092701	595	595	0	2	31	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000216091	609	609	0	3	16	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000216568	624	623	1	1	3	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000218502	619	619	0	4	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000249746	625	624	1	0	3	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000251062	621	621	0	0	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000251881	619	618	1	2	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000255139	608	608	0	0	20	628	campylobacterales_odb10	96		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000256379	597	596	1	4	27	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000256421	617	617	0	0	11	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000256695	623	623	0	0	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000256765	626	626	0	0	2	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000256842	621	459	162	0	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000257067	610	610	0	3	15	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000319322	609	607	2	1	18	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000092884	596	594	2	4	28	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter			
UP000005085	607	607	0	4	17	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bilis		
UP000008387	574	571	3	25	29	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bizzozeronii		
UP000007032	622	622	0	1	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canadensis		
UP000018688	616	616	0	3	9	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter canis		
UP000007934	610	610	0	0	18	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter felis		
UP000018143	610	609	1	2	16	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter fennelliae		
UP000002495	619	619	0	4	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter hepaticus		
UP000018731	619	619	0	2	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter macacae		
UP000001522	618	617	1	3	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter mustelae		
UP000000429	625	625	0	2	1	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori		
UP000054093	560	560	0	13	55	628	campylobacterales_odb10	91		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter suis		
UP000000422	615	614	1	2	11	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Wolinella	Wolinella succinogenes		
UP000199227	616	612	4	1	11	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Hydrogenimonadaceae	Hydrogenimonas			
UP000272365	591	590	1	7	30	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Hydrogenimonadaceae	Hydrogenimonas			
UP000029313	574	568	6	10	44	628	campylobacterales_odb10	92		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum			
UP000008721	620	607	13	1	7	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfuricurvum	Sulfuricurvum kujiense		
UP000015520	615	612	3	3	10	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000230230	504	488	16	17	107	628	campylobacterales_odb10	82		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000326944	614	599	15	2	12	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000593836	615	612	3	2	11	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000593910	610	603	7	1	17	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000671852	603	598	5	2	23	628	campylobacterales_odb10	96		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas			
UP000007803	614	612	2	1	13	628	campylobacterales_odb10	97		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas autotrophica		
UP000002714	616	610	6	2	10	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas denitrificans		
UP000006431	618	612	6	2	8	628	campylobacterales_odb10	98		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	Sulfurimonas gotlandica		
UP000005330	531	531	0	15	82	628	campylobacterales_odb10	86		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Thiovulum			
UP000229442	587	587	0	13	28	628	campylobacterales_odb10	95		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum			
UP000002222	623	617	6	0	5	628	campylobacterales_odb10	99		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurospirillaceae	Sulfurospirillum	Sulfurospirillum deleyianum		
UP000008633	587	581	6	4	37	628	campylobacterales_odb10	94		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Nitratifractor	Nitratifractor salsuginis		
UP000003180	573	571	2	5	50	628	campylobacterales_odb10	92		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum			
UP000230780	569	563	6	4	55	628	campylobacterales_odb10	91		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum			
UP000476761	454	451	3	19	155	628	campylobacterales_odb10	75		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum			
UP000034444	576	573	3	3	49	628	campylobacterales_odb10	92		Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum			
UP000217944	552	551	1	3	36	591	epsilonproteobacteria_odb10	93		Campylobacterota	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Lebetimonas			
UP000001118	569	568	1	1	21	591	epsilonproteobacteria_odb10	96		Campylobacterota	Epsilonproteobacteria	Nautiliales	Nitratiruptoraceae	Nitratiruptor			
UP000769039	146	146	0	3	45	194	archaea_odb10	76		Candidatus Aenigmarchaeota							
UP000701373	154	150	4	11	29	194	archaea_odb10	85		Candidatus Altarchaeota							
UP000094058	141	139	2	8	45	194	archaea_odb10	76		Candidatus Altarchaeota		Candidatus Altarchaeales					
UP000246112	145	136	9	6	43	194	archaea_odb10	77		Candidatus Bathyarchaeota							
UP000249818	92	92	0	10	22	124	bacteria_odb10	82		Candidatus Bipolaricaulota				Bipolaricaulis			
UP000002019	106	106	0	9	9	124	bacteria_odb10	92		Candidatus Cloacimonadota	Candidatus Cloacimonadia	Candidatus Cloacimonadales	Candidatus Cloacimonadaceae	Cloacimonas	Candidatus Cloacimonas acidaminovorans		
UP000294588	106	105	1	6	12	124	bacteria_odb10	90		Candidatus Cloacimonadota	Candidatus Cloacimonadia	Candidatus Cloacimonadales	Candidatus Cloacimonadaceae	Syntrophosphaera			
UP000809243	145	144	1	11	38	194	archaea_odb10	80		Candidatus Diapherotrites							
UP000612893	106	105	1	12	6	124	bacteria_odb10	95		Candidatus Dormibacteraeota						Candidatus Dormibacteraeota bacterium	1.0
UP000582321	83	81	2	10	31	124	bacteria_odb10	75		Candidatus Hydrogenedentes							
UP000001686	172	172	0	5	17	194	archaea_odb10	91		Candidatus Korarchaeota				Korarchaeum	Candidatus Korarchaeum cryptofilum		
UP000182011	119	118	1	3	2	124	bacteria_odb10	98		Candidatus Kryptonia				Kryptonium			
UP000681675	104	104	0	6	14	124	bacteria_odb10	88		Candidatus Latescibacteria							
UP000811545	95	93	2	5	24	124	bacteria_odb10	80		Candidatus Lithacetigenota				Candidatus Psychracetigena			
UP000321408	166	163	3	3	25	194	archaea_odb10	87		Candidatus Lokiarchaeota	Candidatus Lokiarchaeia	Candidatus Prometheoarchaeales	Candidatus Prometheoarchaeaceae	Candidatus Prometheoarchaeum			
UP000249251	84	84	0	13	27	124	bacteria_odb10	78		Candidatus Margulisiibacteriota	Candidatus Marinamargulisbacteria						
UP000269352	101	101	0	13	10	124	bacteria_odb10	91		Candidatus Margulisiibacteriota	Candidatus Termititenacia	Candidatus Termititenacales	Candidatus Termititenacaceae	Termititenax			
UP000275925	104	104	0	8	12	124	bacteria_odb10	90		Candidatus Margulisiibacteriota	Candidatus Termititenacia	Candidatus Termititenacales	Candidatus Termititenacaceae	Termititenax			
UP000324143	103	103	0	7	14	124	bacteria_odb10	88		Candidatus Mcinerneyibacteriota	Candidatus Mcinerneyibacteria	Candidatus Mcinerneyibacteriales	Candidatus Mcinerneyibacteriaceae	Mcinerneyibacterium			
UP000643110	85	80	5	14	25	124	bacteria_odb10	79		Candidatus Melainabacteria							
UP000729398	160	159	1	9	25	194	archaea_odb10	87		Candidatus Micrarchaeota							
UP000030700	110	107	3	5	9	124	bacteria_odb10	92		Candidatus Moduliflexota	Candidatus Moduliflexia	Candidatus Moduliflexales	Candidatus Moduliflexaceae	Moduliflexus			
UP000030661	109	106	3	4	11	124	bacteria_odb10	91		Candidatus Moduliflexota	Candidatus Vecturitrichia	Candidatus Vecturitrichales	Candidatus Vecturitrichaceae	Vecturithrix			
UP000033428	104	103	1	8	12	124	bacteria_odb10	90		Candidatus Omnitrophota				Omnitrophus			
UP000287243	105	105	0	8	11	124	bacteria_odb10	91		Candidatus Omnitrophota				Velamenicoccus			
UP000269781	102	102	0	4	18	124	bacteria_odb10	85		Candidatus Poribacteria							
UP000019140	80	79	1	26	18	124	bacteria_odb10	85		Candidatus Tectomicrobia				Entotheonella		Candidatus Entotheonella gemina	1.0
UP000019141	108	106	2	11	5	124	bacteria_odb10	95		Candidatus Tectomicrobia				Entotheonella		Entotheonella factor	1.0
UP000723558	168	161	7	4	22	194	archaea_odb10	88		Candidatus Thermoplasmatota							
UP000001400	192	192	0	0	2	194	archaea_odb10	98		Candidatus Thermoplasmatota				Aciduliprofundum	Candidatus Aciduliprofundum boonei		
UP000267582	164	164	0	10	20	194	archaea_odb10	89		Candidatus Thermoplasmatota	Candidatus Poseidoniia	Candidatus Poseidoniales					
UP000058290	335	332	3	0	5	340	thermoplasmata_odb10	98		Candidatus Thermoplasmatota	Thermoplasmata						
