protein_acc	proteome_acc	species
A0A6A6VU64	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6VVH4	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6VYK2	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6VZ00	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6VZ40	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6W082	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6W7X2	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6W8L4	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WC88	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WEL2	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WGM4	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WID7	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WLA0	UP000799437	Pseudovirgaria hyperparasitica
A0A6A6WR08	UP000799757	Melanomma pulvis-pyrius
A0A6A6WRF1	UP000799757	Melanomma pulvis-pyrius
A0A6A6WW42	UP000799757	Melanomma pulvis-pyrius
A0A6A6WXQ7	UP000799757	Melanomma pulvis-pyrius
A0A6A6WZP5	UP000799757	Melanomma pulvis-pyrius
A0A6A6X2A2	UP000799757	Melanomma pulvis-pyrius
A0A6A6X7P0	UP000799757	Melanomma pulvis-pyrius
A0A6A6X7P3	UP000799757	Melanomma pulvis-pyrius
A0A6A6X999	UP000799757	Melanomma pulvis-pyrius
A0A6A6XB01	UP000799757	Melanomma pulvis-pyrius
A0A6A6XFI0	UP000799757	Melanomma pulvis-pyrius
A0A6A6XJN7	UP000799757	Melanomma pulvis-pyrius
A0A6A6XLB1	UP000799757	Melanomma pulvis-pyrius
A0A6A6XLR7	UP000799757	Melanomma pulvis-pyrius
A0A6A6XS31	UP000799757	Melanomma pulvis-pyrius
A0A6A6XS33	UP000799757	Melanomma pulvis-pyrius
A0A6A6XX71	UP000799757	Melanomma pulvis-pyrius
A0A6A6YDA9	UP000504636	Mytilinidion resinicola
A0A6A6YIB0	UP000504636	Mytilinidion resinicola
A0A6A6YIL2	UP000504636	Mytilinidion resinicola
A0A6A6YP93	UP000504636	Mytilinidion resinicola
A0A6A6Z3V1	UP000504636	Mytilinidion resinicola
A0A6A6Z455	UP000504636	Mytilinidion resinicola
A0A6A6Z483	UP000504636	Mytilinidion resinicola
A0A6A6Z4Q4	UP000504636	Mytilinidion resinicola
A0A6A6ZDY1	UP000799424	Ophiobolus disseminans
A0A6A6ZI63	UP000799424	Ophiobolus disseminans
A0A6A6ZJV5	UP000799424	Ophiobolus disseminans
A0A6A6ZN76	UP000799424	Ophiobolus disseminans
A0A6A6ZNN4	UP000799424	Ophiobolus disseminans
A0A6A6ZQQ8	UP000799424	Ophiobolus disseminans
A0A6A6ZWE4	UP000799424	Ophiobolus disseminans
A0A6A6ZWM6	UP000799424	Ophiobolus disseminans
A0A6A7A461	UP000799424	Ophiobolus disseminans
A0A6A7A961	UP000799424	Ophiobolus disseminans
A0A6A7AAR3	UP000799424	Ophiobolus disseminans
A0A6A7AAT9	UP000799424	Ophiobolus disseminans
A0A6A7AEL9	UP000799424	Ophiobolus disseminans
A0A6A7AGA7	UP000799424	Ophiobolus disseminans
A0A6A7AHW1	UP000799424	Ophiobolus disseminans
A0A6A7AJP7	UP000799424	Ophiobolus disseminans
A0A6A7AQI4	UP000799423	Plenodomus tracheiphilus
A0A6A7ARS2	UP000799423	Plenodomus tracheiphilus
A0A6A7AZ98	UP000799423	Plenodomus tracheiphilus
A0A6A7AZP2	UP000799423	Plenodomus tracheiphilus
A0A6A7AZY7	UP000799423	Plenodomus tracheiphilus
A0A6A7B1V5	UP000799423	Plenodomus tracheiphilus
A0A6A7BAH6	UP000799423	Plenodomus tracheiphilus
A0A6A7BAZ2	UP000799423	Plenodomus tracheiphilus
A0A6A7BCJ9	UP000799423	Plenodomus tracheiphilus
A0A6A7BD10	UP000799423	Plenodomus tracheiphilus
A0A6A7BE86	UP000799423	Plenodomus tracheiphilus
A0A6A7BFT5	UP000799423	Plenodomus tracheiphilus
A0A6A7BLX6	UP000799423	Plenodomus tracheiphilus
A0A6A7BNR0	UP000799423	Plenodomus tracheiphilus
A0A6A7BQY5	UP000799421	Piedraia hortae
A0A6A7C352	UP000799421	Piedraia hortae
A0A6A7CAG9	UP000799421	Piedraia hortae
A0A6A7LIQ9	UP000452269	Nitrososphaeraceae archaeon
A0A6A7LKH4	UP000452269	Nitrososphaeraceae archaeon
A0A6B2RUU3	UP000478642	Streptomyces sp. SID10853
A0A6B2SAZ4	UP000475437	Streptomyces sp. SID10115
A0A6B2X300	UP000476900	Streptomyces sp. SID13726
A0A6B2XEQ2	UP000476900	Streptomyces sp. SID13726
A0A6B3B5K8	UP000472955	Streptomyces sp. SID8111
A0A6B3B7D1	UP000472955	Streptomyces sp. SID8111
A0A6B3G3F5	UP000482171	Streptomyces sp. SID7982
A0A6B3HGY1	UP000481552	Streptomyces sp. SID8455
A0A6C0QDG2	UP000472328	Streptomyces sp. S4.7
A0A6F9AAX3	UP000502089	Coregonus sp. 'balchen'
A0A6F9AI37	UP000502089	Coregonus sp. 'balchen'
A0A6F9ATL9	UP000502089	Coregonus sp. 'balchen'
A0A6F9AXC6	UP000502089	Coregonus sp. 'balchen'
A0A6F9C9L0	UP000502089	Coregonus sp. 'balchen'
A0A6F9CDS6	UP000502089	Coregonus sp. 'balchen'
A0A6F9CEX7	UP000502089	Coregonus sp. 'balchen'
A0A6F9CLG2	UP000502089	Coregonus sp. 'balchen'
A0A6F9CQX1	UP000502089	Coregonus sp. 'balchen'
A0A6F9CRW7	UP000502089	Coregonus sp. 'balchen'
A0A6G0HIY7	UP000424527	Larimichthys crocea
A0A6G0I8F6	UP000424527	Larimichthys crocea
A0A6G0IV78	UP000424527	Larimichthys crocea
A0A6G0IVE0	UP000424527	Larimichthys crocea
A0A6G0IYJ3	UP000424527	Larimichthys crocea
A0A6G0J6V0	UP000424527	Larimichthys crocea
A0A6G0J8P5	UP000424527	Larimichthys crocea
A0A6G0UHD5	UP000488831	Halicephalobus sp. NKZ332
A0A6G0UHF5	UP000488831	Halicephalobus sp. NKZ332
A0A6G0ULT3	UP000488831	Halicephalobus sp. NKZ332
A0A6G0UWT6	UP000488831	Halicephalobus sp. NKZ332
A0A6G0V537	UP000488831	Halicephalobus sp. NKZ332
A0A6G0WA47	UP000481153	Aphanomyces euteiches
A0A6G0WB52	UP000481153	Aphanomyces euteiches
A0A6G0WCQ5	UP000481153	Aphanomyces euteiches
A0A6G0WF35	UP000481153	Aphanomyces euteiches
A0A6G0WG51	UP000481153	Aphanomyces euteiches
A0A6G0WYR1	UP000481153	Aphanomyces euteiches
A0A6G0X2P4	UP000481153	Aphanomyces euteiches
A0A6G0XE75	UP000481153	Aphanomyces euteiches
A0A6G0XEC3	UP000481153	Aphanomyces euteiches
A0A6G0XHE4	UP000481153	Aphanomyces euteiches
A0A6G0XI56	UP000481153	Aphanomyces euteiches
A0A6G0XI62	UP000481153	Aphanomyces euteiches
A0A6G0XIF8	UP000481153	Aphanomyces euteiches
A0A6G0XPY3	UP000481153	Aphanomyces euteiches
A0A6G0XR43	UP000481153	Aphanomyces euteiches
A0A6G0XRD8	UP000481153	Aphanomyces euteiches
A0A6G1A822	UP000475037	Crocuta crocuta
A0A6G1AEW7	UP000475037	Crocuta crocuta
A0A6G1AYL9	UP000475037	Crocuta crocuta
A0A6G1BWY8	UP000479710	Oryza meyeriana
A0A6G1E2C8	UP000479710	Oryza meyeriana
A0A6G1E2F0	UP000479710	Oryza meyeriana
A0A6G1E4S6	UP000479710	Oryza meyeriana
A0A6G1FV90	UP000504638	Eremomyces bilateralis
A0A6G1FWN2	UP000504638	Eremomyces bilateralis
A0A6G1G481	UP000504638	Eremomyces bilateralis
A0A6G1G927	UP000504638	Eremomyces bilateralis
A0A6G1G9W7	UP000504638	Eremomyces bilateralis
A0A6G1GCC6	UP000504638	Eremomyces bilateralis
A0A6G1GDK8	UP000504638	Eremomyces bilateralis
A0A6G1GF28	UP000504638	Eremomyces bilateralis
A0A6G1GF50	UP000504638	Eremomyces bilateralis
A0A6G1GRW5	UP000800041	Aulographum hederae
A0A6G1GZN1	UP000800041	Aulographum hederae
A0A6G1H847	UP000800041	Aulographum hederae
A0A6G1HB05	UP000800041	Aulographum hederae
A0A6G1HLY0	UP000799640	Trichodelitschia bisporula
A0A6G1HNC2	UP000799640	Trichodelitschia bisporula
A0A6G1HWI3	UP000799640	Trichodelitschia bisporula
A0A6G1HXT1	UP000799640	Trichodelitschia bisporula
A0A6G1I2N2	UP000799640	Trichodelitschia bisporula
A0A6G1ICP7	UP000799291	Lentithecium fluviatile
A0A6G1IEP5	UP000799291	Lentithecium fluviatile
A0A6G1INJ0	UP000799291	Lentithecium fluviatile
A0A6G1INV5	UP000799291	Lentithecium fluviatile
A0A6G1IP66	UP000799291	Lentithecium fluviatile
A0A6G1IS47	UP000799291	Lentithecium fluviatile
A0A6G1IV16	UP000799291	Lentithecium fluviatile
A0A6G1J3Y1	UP000799291	Lentithecium fluviatile
A0A6G1J6M2	UP000799291	Lentithecium fluviatile
A0A6G1J7S0	UP000799291	Lentithecium fluviatile
A0A6G1JCT9	UP000799291	Lentithecium fluviatile
A0A6G1JIY4	UP000799291	Lentithecium fluviatile
A0A6G1JJB9	UP000799291	Lentithecium fluviatile
A0A6G1JNJ9	UP000799291	Lentithecium fluviatile
A0A6G1JVD0	UP000799428	Pleomassaria siparia
A0A6G1JXQ0	UP000799428	Pleomassaria siparia
A0A6G1JZ99	UP000799428	Pleomassaria siparia
A0A6G1K394	UP000799428	Pleomassaria siparia
A0A6G1K5L0	UP000799428	Pleomassaria siparia
A0A6G1K7W6	UP000799428	Pleomassaria siparia
A0A6G1K9L2	UP000799428	Pleomassaria siparia
A0A6G1KA37	UP000799428	Pleomassaria siparia
A0A6G1KF51	UP000799428	Pleomassaria siparia
A0A6G1KGG9	UP000799428	Pleomassaria siparia
A0A6G1KJP5	UP000799428	Pleomassaria siparia
A0A6G1KL30	UP000799428	Pleomassaria siparia
A0A6G1KL79	UP000799428	Pleomassaria siparia
A0A6G1KSI8	UP000799428	Pleomassaria siparia
A0A6G1KYM2	UP000799436	Teratosphaeria nubilosa
A0A6G1L2W6	UP000799436	Teratosphaeria nubilosa
A0A6G1L478	UP000799436	Teratosphaeria nubilosa
A0A6G1LGU8	UP000799436	Teratosphaeria nubilosa
A0A6G1LHH1	UP000799436	Teratosphaeria nubilosa
A0A6G1LLW4	UP000799436	Teratosphaeria nubilosa
A0A6G1PBM0	UP000503349	Channa argus
A0A6G1PX29	UP000503349	Channa argus
A0A6G1Q602	UP000503349	Channa argus
A0A6G1QSV4	UP000503349	Channa argus
A0A6G2BAK0	UP000473014	Streptomyces taklimakanensis
A0A6G2VKZ9	UP000479902	Streptomyces sp. SID161
A0A6G2VW22	UP000479902	Streptomyces sp. SID161
A0A6G2W483	UP000479902	Streptomyces sp. SID161
A0A6G3RZA0	UP000473262	Streptomyces sp. SID14478
A0A6G8G213	UP000501702	Phycicoccus sp. HDW14
A0A6G8G2C8	UP000501702	Phycicoccus sp. HDW14
A0A6G8NL20	UP000501028	Caballeronia sp. SBC1
A0A6G9GST2	UP000501179	Streptomyces liangshanensis
A0A6H0CJI5	UP000501663	Streptomyces sp. DSM 40868
A0A6H0CKL9	UP000501663	Streptomyces sp. DSM 40868
A0A6H0XMS2	UP000503462	Peltaster fructicola
A0A6H0XNI2	UP000503462	Peltaster fructicola
A0A6H0XRQ1	UP000503462	Peltaster fructicola
A0A6H0XTV7	UP000503462	Peltaster fructicola
A0A6H0Y3Z6	UP000503462	Peltaster fructicola
A0A6H5J676	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5J7R8	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JC11	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JD30	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JFW1	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JFY2	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JHA2	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JRR4	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JTC5	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5JVU3	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5K0B2	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5K0F0	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5K3Y9	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5K485	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KCN8	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KFJ6	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KGP3	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KKI9	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KMG1	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KPW4	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5KV26	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5L3M0	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5L614	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5LA02	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H5LKB4	UP000485383	Ectocarpus sp. CCAP 1310/34
A0A6H9UQ49	UP000442707	Streptomyces luteolifulvus
A0A6H9V3S2	UP000442707	Streptomyces luteolifulvus
A0A6H9V4A5	UP000442707	Streptomyces luteolifulvus
A0A6I1YKZ7	UP000435531	Streptomyces sp. RB17
A0A6I1ZA88	UP000435531	Streptomyces sp. RB17
A0A6I3KHZ9	UP000440694	Hyphomicrobium album
A0A6I3X362	UP000431684	Massilia dura
A0A6I4N754	UP000431136	Streptomyces sp. BA2
A0A6I4UYJ6	UP000471435	Pontixanthobacter luteolus
A0A6I5C8S8	UP000469395	Streptomyces sp. SID625
A0A6I5WCN5	UP000427831	Micromonospora sp. WMMC415
A0A6I8N5Z5	UP000002279	Ornithorhynchus anatinus
A0A6I8NC50	UP000002279	Ornithorhynchus anatinus
A0A6I8NZZ4	UP000002279	Ornithorhynchus anatinus
A0A6I8PHQ0	UP000002279	Ornithorhynchus anatinus
A0A6I8QAH5	UP000008143	Xenopus tropicalis
A0A6I9HDZ3	UP000504602	Geospiza fortis
A0A6I9HI68	UP000504602	Geospiza fortis
A0A6I9IBA0	UP000504605	Vicugna pacos
A0A6I9IHY3	UP000504605	Vicugna pacos
A0A6I9IQT4	UP000504605	Vicugna pacos
A0A6I9LQ25	UP000504601	Peromyscus maniculatus
A0A6I9LW38	UP000504601	Peromyscus maniculatus
A0A6I9MDC2	UP000504601	Peromyscus maniculatus
A0A6I9MZ41	UP000504611	Notothenia coriiceps
A0A6I9NBZ5	UP000504611	Notothenia coriiceps
A0A6I9PFY4	UP000504611	Notothenia coriiceps
A0A6I9PRF8	UP000504611	Notothenia coriiceps
A0A6I9QIW5	UP000504607	Elaeis guineensis
A0A6I9QKC4	UP000504607	Elaeis guineensis
A0A6I9QKJ4	UP000504607	Elaeis guineensis
A0A6I9RDH9	UP000504607	Elaeis guineensis
A0A6I9RIE5	UP000504607	Elaeis guineensis
A0A6I9SZN0	UP000504604	Sesamum indicum
A0A6I9TD70	UP000504604	Sesamum indicum
A0A6I9TDV3	UP000504604	Sesamum indicum
A0A6I9TFW5	UP000504604	Sesamum indicum
A0A6I9TH13	UP000504604	Sesamum indicum
A0A6I9TIN4	UP000504604	Sesamum indicum
A0A6I9UDT3	UP000504604	Sesamum indicum
A0A6I9UDU9	UP000504604	Sesamum indicum
A0A6I9UES7	UP000504604	Sesamum indicum
A0A6I9UJ96	UP000504604	Sesamum indicum
A0A6I9X224	UP000504617	Thamnophis sirtalis
A0A6I9XAN8	UP000504617	Thamnophis sirtalis
A0A6I9Y0K9	UP000504617	Thamnophis sirtalis
A0A6I9ZH81	UP000504626	Acinonyx jubatus
A0A6I9ZTC4	UP000504626	Acinonyx jubatus
A0A6J0A597	UP000504626	Acinonyx jubatus
A0A6J0HNC8	UP000504624	Lepidothrix coronata
A0A6J0HSI8	UP000504624	Lepidothrix coronata
A0A6J0IIC8	UP000504624	Lepidothrix coronata
A0A6J0SQE0	UP000504619	Pogona vitticeps
A0A6J0SW19	UP000504619	Pogona vitticeps
A0A6J0V519	UP000504619	Pogona vitticeps
A0A6J0WLF0	UP000504613	Odocoileus virginianus
A0A6J0WVF2	UP000504613	Odocoileus virginianus
A0A6J0YS43	UP000504613	Odocoileus virginianus
A0A6J1AGY1	UP000504621	Herrania umbratica
A0A6J1AIX9	UP000504621	Herrania umbratica
A0A6J1B4U6	UP000504621	Herrania umbratica
A0A6J1B6E3	UP000504621	Herrania umbratica
A0A6J1B6Y7	UP000504621	Herrania umbratica
A0A6J1B7B5	UP000504621	Herrania umbratica
A0A6J1BLU4	UP000504621	Herrania umbratica
A0A6J1CDF9	UP000504603	Momordica charantia
A0A6J1CGK8	UP000504603	Momordica charantia
A0A6J1K2N9	UP000504608	Cucurbita maxima
A0A6J1KJD3	UP000504608	Cucurbita maxima
A0A6J1KRC0	UP000504608	Cucurbita maxima
A0A6J1U823	UP000504612	Notechis scutatus
A0A6J1UHZ7	UP000504612	Notechis scutatus
A0A6J1UXM9	UP000504612	Notechis scutatus
A0A6J1XTR9	UP000504626	Acinonyx jubatus
A0A6J2GYQ9	UP000504627	Pipra filicauda
A0A6J2IKT7	UP000504627	Pipra filicauda
A0A6J2IKU3	UP000504627	Pipra filicauda
A0A6J2M440	UP000504628	Phyllostomus discolor
A0A6J2MIL9	UP000504628	Phyllostomus discolor
A0A6J2MT63	UP000504628	Phyllostomus discolor
A0A6J2Q2T7	UP000504630	Cottoperca gobio
A0A6J2Q5N3	UP000504630	Cottoperca gobio
A0A6J2QUR9	UP000504630	Cottoperca gobio
A0A6J2R1J1	UP000504630	Cottoperca gobio
A0A6J2RMT7	UP000504630	Cottoperca gobio
A0A6J2RXQ1	UP000504630	Cottoperca gobio
A0A6J2VLV0	UP000504632	Chanos chanos
A0A6J2VVP9	UP000504632	Chanos chanos
A0A6J2WAJ1	UP000504632	Chanos chanos
A0A6J2WEP8	UP000504632	Chanos chanos
A0A6J2WV06	UP000504632	Chanos chanos
A0A6J3B081	UP000504605	Vicugna pacos
A0A6J3B3I2	UP000504605	Vicugna pacos
A0A6J3B4N6	UP000504605	Vicugna pacos
A0A6J3B6F4	UP000504605	Vicugna pacos
A0A6J3E978	UP000504639	Aythya fuligula
A0A6J3EJK3	UP000504639	Aythya fuligula
A0A6J3ELG3	UP000504639	Aythya fuligula
A0A6J3HTM0	UP000504640	Sapajus apella
A0A6J3HUM0	UP000504640	Sapajus apella
A0A6J3JC16	UP000504640	Sapajus apella
A0A6J3JNQ6	UP000504640	Sapajus apella
A0A6J3LV43	UP000504637	Dissoconium aciculare
A0A6J3LW51	UP000504637	Dissoconium aciculare
A0A6J3LWY9	UP000504637	Dissoconium aciculare
A0A6J3M5I3	UP000504637	Dissoconium aciculare
A0A6J3MCD2	UP000504637	Dissoconium aciculare
A0A6J3MCF2	UP000504637	Dissoconium aciculare
A0A6J3MIN3	UP000504637	Dissoconium aciculare
A0A6J5UHK8	UP000507245	Prunus armeniaca
A0A6J5UL59	UP000507245	Prunus armeniaca
A0A6J5WXB6	UP000507245	Prunus armeniaca
A0A6J5WXJ3	UP000507245	Prunus armeniaca
A0A6J5X158	UP000507245	Prunus armeniaca
A0A6J5X2R9	UP000507245	Prunus armeniaca
A0A6J5X364	UP000507245	Prunus armeniaca
A0A6J5X5P2	UP000507245	Prunus armeniaca
A0A6J5X623	UP000507245	Prunus armeniaca
A0A6J5Y3P4	UP000507245	Prunus armeniaca
A0A6J8A749	UP000507470	Mytilus coruscus
A0A6J8AZI7	UP000507470	Mytilus coruscus
A0A6J8B4M5	UP000507470	Mytilus coruscus
A0A6J8BNB1	UP000507470	Mytilus coruscus
A0A6J8BQ47	UP000507470	Mytilus coruscus
A0A6J8BR51	UP000507470	Mytilus coruscus
A0A6J8BTM0	UP000507470	Mytilus coruscus
A0A6J8BZF0	UP000507470	Mytilus coruscus
A0A6J8C361	UP000507470	Mytilus coruscus
A0A6J8CCA4	UP000507470	Mytilus coruscus
A0A6J8CDZ2	UP000507470	Mytilus coruscus
A0A6J8CIC7	UP000507470	Mytilus coruscus
A0A6J8CIH9	UP000507470	Mytilus coruscus
A0A6J8CIJ4	UP000507470	Mytilus coruscus
A0A6J8CIJ8	UP000507470	Mytilus coruscus
A0A6J8CIT7	UP000507470	Mytilus coruscus
A0A6J8CJF7	UP000507470	Mytilus coruscus
A0A6J8CJI4	UP000507470	Mytilus coruscus
A0A6J8CKE6	UP000507470	Mytilus coruscus
A0A6J8CL61	UP000507470	Mytilus coruscus
A0A6J8CMB6	UP000507470	Mytilus coruscus
A0A6J8CMR4	UP000507470	Mytilus coruscus
A0A6J8CN68	UP000507470	Mytilus coruscus
A0A6J8CNM0	UP000507470	Mytilus coruscus
A0A6J8CPJ7	UP000507470	Mytilus coruscus
A0A6J8CRY6	UP000507470	Mytilus coruscus
A0A6J8CWR3	UP000507470	Mytilus coruscus
A0A6J8CYS7	UP000507470	Mytilus coruscus
A0A6J8CZL5	UP000507470	Mytilus coruscus
A0A6J8D106	UP000507470	Mytilus coruscus
A0A6J8D2X5	UP000507470	Mytilus coruscus
A0A6J8D799	UP000507470	Mytilus coruscus
A0A6J8DAY9	UP000507470	Mytilus coruscus
A0A6J8DKI0	UP000507470	Mytilus coruscus
A0A6J8DKI8	UP000507470	Mytilus coruscus
A0A6J8DL31	UP000507470	Mytilus coruscus
A0A6J8DM21	UP000507470	Mytilus coruscus
A0A6J8DNG4	UP000507470	Mytilus coruscus
A0A6J8DNP7	UP000507470	Mytilus coruscus
A0A6J8DQJ1	UP000507470	Mytilus coruscus
A0A6J8DSF7	UP000507470	Mytilus coruscus
A0A6J8DSH3	UP000507470	Mytilus coruscus
A0A6J8DXN2	UP000507470	Mytilus coruscus
A0A6J8E259	UP000507470	Mytilus coruscus
A0A6J8E5E4	UP000507470	Mytilus coruscus
A0A6J8E8F7	UP000507470	Mytilus coruscus
A0A6J8E904	UP000507470	Mytilus coruscus
A0A6J8E972	UP000507470	Mytilus coruscus
A0A6J8EA39	UP000507470	Mytilus coruscus
A0A6J8EA73	UP000507470	Mytilus coruscus
A0A6J8EAM0	UP000507470	Mytilus coruscus
A0A6J8EAN0	UP000507470	Mytilus coruscus
A0A6J8EB77	UP000507470	Mytilus coruscus
A0A6J8EB88	UP000507470	Mytilus coruscus
A0A6J8ECE6	UP000507470	Mytilus coruscus
A0A6J8ECF0	UP000507470	Mytilus coruscus
A0A6J8EDZ0	UP000507470	Mytilus coruscus
A0A6J8EIX1	UP000507470	Mytilus coruscus
A0A6J8ENF3	UP000507470	Mytilus coruscus
A0A6J8ETS6	UP000507470	Mytilus coruscus
A0A6J8EUT2	UP000507470	Mytilus coruscus
A0A6J8EWA4	UP000507470	Mytilus coruscus
A0A6J8EWF6	UP000507470	Mytilus coruscus
A0A6J8EWK6	UP000507470	Mytilus coruscus
A0A6L7GYJ8	UP000475545	Gordonia mangrovi
A0A6L9E9N5	UP000475249	Poritiphilus flavus
A0A6M5YW59	UP000503447	Frigoriglobus tundricola
A0A6N2KXN2	UP001151529	Salix viminalis
A0A6N4T8Q3	UP000464899	Undibacterium sp. KW1
A0A6N6JP54	UP000436822	Litoreibacter roseus
A0A6N7I3D0	UP000468742	Pseudonocardiaceae bacterium
A0A6N7KV80	UP000450000	Streptomyces kaniharaensis
A0A6N7L0B2	UP000450000	Streptomyces kaniharaensis
A0A6N7YXA6	UP000440096	Amycolatopsis pithecellobii
A0A6P0UL92	UP000468581	Leptobacterium flavescens
A0A6P2C4L1	UP000460272	Trebonia kvetii
A0A6P3EM25	UP000515203	Octodon degus
A0A6P3ETL0	UP000515203	Octodon degus
A0A6P3FKC4	UP000515203	Octodon degus
A0A6P3HNW9	UP000515208	Bison bison
A0A6P3HXY8	UP000515208	Bison bison
A0A6P3I3N4	UP000515208	Bison bison
A0A6P3IUI9	UP000515208	Bison bison
A0A6P3PYB1	UP000515202	Pteropus vampyrus
A0A6P3QC37	UP000515202	Pteropus vampyrus
A0A6P3QQH8	UP000515202	Pteropus vampyrus
A0A6P3RFC7	UP000515202	Pteropus vampyrus
A0A6P3VT16	UP000515152	Clupea harengus
A0A6P3W1X2	UP000515152	Clupea harengus
A0A6P3YQV4	UP000515210	Ziziphus jujuba
A0A6P3YRH5	UP000515210	Ziziphus jujuba
A0A6P3YRP2	UP000515210	Ziziphus jujuba
A0A6P3YUU1	UP000515210	Ziziphus jujuba
A0A6P3YXQ8	UP000515210	Ziziphus jujuba
A0A6P3YY59	UP000515210	Ziziphus jujuba
A0A6P4C4R2	UP000515211	Arachis duranensis
A0A6P4CRV9	UP000515211	Arachis duranensis
A0A6P4CY22	UP000515211	Arachis duranensis
A0A6P4CZR3	UP000515211	Arachis duranensis
A0A6P4D463	UP000515211	Arachis duranensis
A0A6P4D7K5	UP000515211	Arachis duranensis
A0A6P4XRW3	UP000515135	Branchiostoma belcheri
A0A6P4Y7G1	UP000515135	Branchiostoma belcheri
A0A6P4YG04	UP000515135	Branchiostoma belcheri
A0A6P4YGM5	UP000515135	Branchiostoma belcheri
A0A6P4YP62	UP000515135	Branchiostoma belcheri
A0A6P4YV80	UP000515135	Branchiostoma belcheri
A0A6P4ZCR3	UP000515135	Branchiostoma belcheri
A0A6P4ZW15	UP000515135	Branchiostoma belcheri
A0A6P5A764	UP000515135	Branchiostoma belcheri
A0A6P5AGC0	UP000515135	Branchiostoma belcheri
A0A6P5ATF9	UP000515132	Bos indicus
A0A6P5C7F9	UP000515132	Bos indicus
A0A6P5CM61	UP000515132	Bos indicus
A0A6P5CQM7	UP000515132	Bos indicus
A0A6P5IH15	UP000515140	Phascolarctos cinereus
A0A6P5J2K7	UP000515140	Phascolarctos cinereus
A0A6P5JQ56	UP000515140	Phascolarctos cinereus
A0A6P5L107	UP000515140	Phascolarctos cinereus
A0A6P5MV04	UP000515211	Arachis duranensis
A0A6P5TSP4	UP000515124	Prunus avium
A0A6P5TUG1	UP000515124	Prunus avium
A0A6P5TUS8	UP000515124	Prunus avium
A0A6P5TUU8	UP000515124	Prunus avium
A0A6P5TUV6	UP000515124	Prunus avium
A0A6P5TVH0	UP000515124	Prunus avium
A0A6P5U5T0	UP000515124	Prunus avium
A0A6P5WWI1	UP000515121	Durio zibethinus
A0A6P5WYD0	UP000515121	Durio zibethinus
A0A6P5XCY6	UP000515121	Durio zibethinus
A0A6P5XY90	UP000515121	Durio zibethinus
A0A6P6ABN5	UP000515121	Durio zibethinus
A0A6P6BJY7	UP000515121	Durio zibethinus
A0A6P6HWD8	UP000515131	Puma concolor
A0A6P6I7U8	UP000515131	Puma concolor
A0A6P6I7X4	UP000515131	Puma concolor
A0A6P6I8I8	UP000515131	Puma concolor
A0A6P6IAZ8	UP000515131	Puma concolor
A0A6P6JJR2	UP000515129	Carassius auratus
A0A6P6LDT2	UP000515129	Carassius auratus
A0A6P6PH11	UP000515129	Carassius auratus
A0A6P6PSJ1	UP000515129	Carassius auratus
A0A6P6PTF3	UP000515129	Carassius auratus
A0A6P6Q1G2	UP000515129	Carassius auratus
A0A6P6QVS9	UP000515129	Carassius auratus
A0A6P6S8C0	UP000515148	Coffea arabica
A0A6P6S967	UP000515148	Coffea arabica
A0A6P6SB58	UP000515148	Coffea arabica
A0A6P6SD00	UP000515148	Coffea arabica
