DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	species
COLOR	#ff0000
DATA
CDM37049.1	#90caab	Penicillium roqueforti
CAC04150.1	#bfaee8	Pimpla hypochondriaca
TPX61975.1	#2453aa	Spizellomyces sp. 'palustris'
ATU82892.1	#75ff56	Pristhesancus plagipennis
MCJ1485637.1	#ec3d01	Schaereria dolodes
KAB5549456.1	#3eac4f	Coniochaeta sp. 2T2.1
XP_044970555.1	#68cd0a	Hordeum vulgare
KAF8409312.1	#1ff008	Tetracentron sinense
KAF4633758.1	#3b19ed	Cudoniella acicularis
CAJ91100.1	#4ffc5c	Limulus polyphemus
KAI5055141.1	#9dee7b	Adiantum capillus-veneris
XP_037181913.1	#2231d8	Colletotrichum aenigma
XP_045503558.1	#ea7b03	Colias croceus
KAI0417752.1	#93e4df	Xylaria grammica
XP_016641541.1	#dcf585	Scedosporium apiospermum
XP_018573746.1	#f028b4	Anoplophora glabripennis
SMR61919.1	#1c1bcd	Zymoseptoria tritici
KAI5738220.1	#ccc642	Diaphorina citri
KAH8518717.1	#d2a95a	Populus deltoides
XP_019180268.1	#22ff1b	Ipomoea nil
AKN08990.1	#08f20d	Luffa aegyptiaca
KAI0440084.1	#e3f070	Xylaria telfairii
PPR04839.1	#653d2b	Gymnopilus dilepis
KAH8641986.1	#71bfaa	Alternaria alternata
ART33471.1	#d7959a	Lilium regale
RKP09204.1	#0cfead	Thamnocephalis sphaerospora
KAH6683562.1	#32bc8a	Plectosphaerella plurivora
WP_028462518.1	#7d1815	Nitrosomonas cryotolerans
ORX96097.1	#e9d827	Basidiobolus meristosporus
KAF4771366.1	#33c61d	Penicillium sp. str. #12
AMB26746.1	#0f19ae	Leptochiton asellus
XP_025583482.1	#d4ad27	Fusarium venenatum
USW56404.1	#cd0c29	Septoria linicola
ORY05582.1	#080773	Clohesyomyces aquaticus
KAG9042399.1	#aa9547	Tulasnella sp. UAMH 9824
XP_043278884.1	#44d8a9	Venturia canescens
XP_001539729.1	#a283e9	Histoplasma mississippiense (nom. inval.)
TVY50686.1	#ae3e46	Lachnellula cervina
KAI0317721.1	#001af4	Amylostereum chailletii
XP_043541965.1	#1a2792	Chiloscyllium plagiosum
KAF2443024.1	#1d5060	Karstenula rhodostoma
WP_045052610.1	#fac6e7	Aliterella atlantica
XP_015594791.1	#9841e6	Cephus cinctus
XP_021993750.1	#7809f9	Helianthus annuus
KAH8627942.1	#71bfaa	Alternaria alternata
XP_016643220.1	#dcf585	Scedosporium apiospermum
XP_023629978.1	#920249	Ramularia collo-cygni
EJD52842.1	#4aac97	Auricularia subglabra
KAG5889586.1	#0c0546	Gonioctena quinquepunctata
XP_018573822.1	#f028b4	Anoplophora glabripennis
XP_041076966.1	#621d2e	Polyodon spathula
XP_043019123.1	#9845dc	Diaporthe citri
KAH9861149.1	#72de02	Leptosphaeria maculans
KAI3660612.1	#23d513	Amoeboaphelidium occidentale
KAF2109396.1	#422f6e	Lophiotrema nucula
ACF70600.1	#e1e8e3	Haliotis diversicolor
OSX70002.1	#b9b4c7	Porphyra umbilicalis
KAG6755206.1	#dcc832	Populus tomentosa
RPB15312.1	#463cfb	Morchella conica
CAG8657383.1	#6e9dea	Dentiscutata erythropus
CAG8726493.1	#13b621	Cetraspora pellucida
XP_025468213.1	#12a062	Aspergillus sclerotioniger
KAF1834931.1	#b223e8	Decorospora gaudefroyi
KAF7515837.1	#457d01	Penicillium crustosum
CAG1968290.1	#b797c8	Fusarium graminearum
RZC44591.1	#079298	Papaver somniferum
KAF6520643.1	#7b5e77	Fusarium oxysporum
KAF9895128.1	#eea23d	Aspergillus nanangensis
AQV14023.1	#48fb43	Entomobryomorpha sp. 2 SF-2017
KAG8951142.1	#d8fca2	Tulasnella sp. 419
XP_018388174.1	#71bfaa	Alternaria alternata
KAF2084790.1	#996501	Saccharata proteae
XP_018311115.1	#a80297	Trachymyrmex zeteki
BAM15848.1	#a6eea4	Portulaca oleracea
XP_016294168.1	#6b3ded	Kalmanozyma brasiliensis
XP_002430692.1	#be679b	Pediculus humanus
GFY55485.1	#f5324c	Trichonephila inaurata
KAF8248672.1	#6b6fd0	Wilcoxina mikolae
XP_040400223.1	#6abe02	Cygnus olor
KAH8647885.1	#e9864b	Xylariales sp. PMI_506
KAF4222196.1	#a1e6e9	Aspergillus fumigatiaffinis
KAB0376826.1	#1c90d0	Muntiacus reevesi
EFA09147.2	#27e955	Tribolium castaneum
AAB22190.1	#fb160c	Panulirus interruptus
KAI4342972.1	#dcc070	Melastoma candidum
RPA77400.1	#b9a0dc	Ascobolus immersus
WP_190853407.1	#008dac	Actinomadura sp. RB99
XP_022848549.1	#0271ee	Olea europaea
XP_011393251.1	#b1f376	Neurospora crassa
KAH7103715.1	#99527b	Auriculariales sp. MPI-PUGE-AT-0066
OXV11945.1	#2f1c61	Elaphomyces granulatus
KOF78230.1	#48999e	Octopus bimaculoides
KAI3905696.1	#5c6786	Papaver californicum
MCA9650125.1	#e7e713	Myxococcales bacterium
MCC7476280.1	#e0396c	Pirellulales bacterium
KAF6794648.1	#d25608	Colletotrichum musicola
KAF9504033.1	#9197b7	Hydnum rufescens
UUJ74936.1	#9a40c5	Cephalotaxus hainanensis
XP_031620301.1	#ba95e0	Contarinia nasturtii
KAF4551773.1	#0fe934	Elsinoe fawcettii
PYH90972.1	#2caefa	Aspergillus ellipticus
PVH98840.1	#dea7f6	Periconia macrospinosa
XP_031829842.1	#7f2040	Nomia melanderi
KIP02310.1	#c37bb9	Phlebiopsis gigantea
KAI0122938.1	#e2fa42	Xylariales sp. AK1849
XP_015112041.1	#5ffa1e	Diachasma alloeum
CAF9933381.1	#2094f4	Heterodermia speciosa
XP_021340235.1	#a02ab2	Mizuhopecten yessoensis
Q95P08.1	#0eb6cf	Scutigera coleoptrata
KAG7071303.1	#b9d481	Colletotrichum scovillei
CCC55875.1	#5e82b6	Polydesmus angustus
TQV94394.1	#bda630	Cordyceps javanica
PMD29051.1	#345e05	Hyaloscypha variabilis
XP_001597382.1	#de59c8	Sclerotinia sclerotiorum
EPS57764.1	#61c455	Genlisea aurea
KAH8760989.1	#3dac1c	Diaporthaceae sp. PMI_573
KAH9507512.1	#c07b6a	Bulinus truncatus
PIN14146.1	#e1f1cd	Handroanthus impetiginosus
PNS17318.1	#e8822d	Sphaceloma murrayae
NEB75782.1	#4ea4fd	Streptomyces sp. SID14478
KAF4954519.1	#82ffbd	Fusarium sarcochroum
KAF7535802.1	#2b5766	Neopestalotiopsis clavispora
XP_046386162.1	#9afc82	Ischnura elegans
OWP00047.1	#b79c44	Marssonina coronariae
KAI0120706.1	#e2fa42	Xylariales sp. AK1849
XP_033598323.1	#e092f4	Pseudovirgaria hyperparasitica
XP_047941911.1	#04d11d	Salvia hispanica
KAI0821744.1	#8a0d72	Trametes gibbosa
KAH6839544.1	#82bd23	Chaetomium sp. MPI-CAGE-AT-0009
MBW0462316.1	#eb2c0c	Austropuccinia psidii
KXN71046.1	#2fd49b	Conidiobolus coronatus
GFX10563.1	#922f4d	Trichonephila clavipes
XP_020690239.2	#8bcb97	Dendrobium catenatum
KAH7311288.1	#a6a09d	Stachybotrys elegans
KAF7752794.1	#56cb3e	Entomophthora muscae
XP_047309494.1	#fde081	Impatiens glandulifera
KAE9552646.1	#918b6f	Halicephalobus sp. NKZ332
XP_007785677.1	#434e9c	Endocarpon pusillum
KAI5055145.1	#9dee7b	Adiantum capillus-veneris
XP_013190920.1	#4c96fa	Amyelois transitella
RSL84120.1	#bd04fc	Fusarium floridanum
KAI3675066.1	#d97395	Smallanthus sonchifolius
KAF6136325.1	#28f62f	Kingdonia uniflora
KAH7374341.1	#b3b0f5	Pyrenochaeta sp. MPI-SDFR-AT-0127
TVU14779.1	#6eb074	Eragrostis curvula
MCJ1262196.1	#4ce32e	Lobaria immixta
XP_043928934.1	#9e2329	Protopterus annectens
XP_044695755.1	#38ff64	Morchella sextelata
KAF7757475.1	#56cb3e	Entomophthora muscae
KAF7994703.1	#1a690f	Aphidius gifuensis
XP_046387012.1	#9afc82	Ischnura elegans
XP_011308418.1	#06c9da	Fopius arisanus
PKA50210.1	#814b4e	Apostasia shenzhenica
XP_034230660.1	#0ddd02	Thrips palmi
KAF6172155.1	#28f62f	Kingdonia uniflora
OQO14223.1	#33b1f2	Rachicladosporium antarcticum
KAG4423551.1	#06692e	Cadophora malorum
KAG4425732.1	#06692e	Cadophora malorum
KAF4519140.1	#7f2377	Ephemera danica
KAF4381246.1	#5505d4	Cannabis sativa
XP_022907906.1	#c3f624	Onthophagus taurus
WP_088242599.1	#b18c79	Calothrix rhizosoleniae
XP_032453316.1	#560828	Nasonia vitripennis
XP_046434462.1	#dc4a18	Neodiprion fabricii
SJL09928.1	#c4e1d2	Armillaria ostoyae
CAE6350796.1	#5191aa	Rhizoctonia solani
KAG0565483.1	#9f3cec	Ceratodon purpureus
KAF4462292.1	#da0829	Fusarium albosuccineum
CAG7558099.1	#48804c	Fusarium equiseti
ORY04611.1	#e9d827	Basidiobolus meristosporus
KAF9633026.1	#5edce0	Lasiodiplodia theobromae
TDZ29471.1	#c74259	Colletotrichum spinosum
AKC96431.1	#aca3f0	Scylla paramamosain
MCH9052930.1	#4ec448	Proteobacteria bacterium
XP_026397049.1	#079298	Papaver somniferum
PFH62382.1	#a6b281	Ophiocordyceps unilateralis
XP_022344537.1	#2b314d	Crassostrea virginica
KAI5780456.1	#7f7d6a	Geopyxis carbonaria
KAF2706982.1	#eed299	Pleomassaria siparia
XP_008020280.1	#8124ec	Exserohilum turcicum
OMJ14267.1	#696e2f	Smittium culicis
KAF2644631.1	#ff3fb5	Massarina eburnea
KAI4915846.1	#d6fdfa	Alternaria incomplexa
PVI01667.1	#dea7f6	Periconia macrospinosa
KAF2708625.1	#eed299	Pleomassaria siparia
XP_041376557.1	#4f5ccd	Gigantopelta aegis
KAI1362190.1	#4ed5e7	Xylaria arbuscula
CCA94916.1	#506a95	Euphrynichus bacillifer
KAI1090370.1	#58bd7c	Rostrohypoxylon terebratum
XP_021966880.1	#abc98f	Folsomia candida
KAF2303387.1	#dd3028	Hevea brasiliensis
XP_016463495.1	#6dd127	Nicotiana tabacum
XP_032829372.1	#e21c94	Petromyzon marinus
TEB22150.1	#630190	Coprinellus micaceus
XP_017777166.1	#8ed108	Nicrophorus vespilloides
CAG8546807.1	#656792	Dentiscutata heterogama
KAG7006779.1	#de8d21	Physcia stellaris
PVV02444.1	#6be212	Smittium megazygosporum
TBU33894.1	#bea296	Dichomitus squalens
XP_016108584.1	#9abcd7	Sinocyclocheilus grahami
AIE39570.1	#954918	Locusta migratoria
MCJ1460686.1	#088f06	Mycoblastus sanguinarius
CAR94712.1	#78ec21	Xibalbanus tulumensis
KAF2438104.1	#1d5060	Karstenula rhodostoma
PON96100.1	#e1be93	Trema orientale
TVY16990.1	#f5cf12	Lachnellula arida
CAH0054154.1	#afe815	Clonostachys solani
XP_018023978.1	#310e44	Hyalella azteca
PHH51566.1	#3e8401	Ceratocystis fimbriata
PKA46166.1	#814b4e	Apostasia shenzhenica
XP_011303846.1	#06c9da	Fopius arisanus
KAE8451007.1	#825d91	Helotiales sp. DMI_Dod_QoI
KAH8783229.1	#3dac1c	Diaporthaceae sp. PMI_573
VBB87272.1	#abc4d9	Podospora comata
ORX93111.1	#e9d827	Basidiobolus meristosporus
KAF1990406.1	#85ccd3	Aulographum hederae
KAE9972937.1	#4a537f	Venturia inaequalis
KAF2269165.1	#89c44c	Didymosphaeria enalia
AGA24618.1	#6dcfa2	Singulisphaera acidiphila
KAH7305208.1	#a6a09d	Stachybotrys elegans
MBW4502027.1	#e56218	Scytonema hyalinum
XP_031095910.1	#648d00	Ipomoea triloba
KAH8348467.1	#70b54e	Drosophila pseudotakahashii
ALG05138.1	#c746b6	Sinopodophyllum hexandrum
AWK28012.1	#8fcec6	Streblosoma hartmanae
TVU43160.1	#6eb074	Eragrostis curvula
OXU21666.1	#cc2203	Trichomalopsis sarcophagae
CAM84199.1	#04b743	Perla marginata
WP_114623304.1	#538320	Streptomyces corynorhini
KAH7379960.1	#a4eae7	Leotiomycetes sp. MPI-SDFR-AT-0126
KAG7293508.1	#0e47c7	Staphylotrichum longicolle
XP_049821677.1	#04bd5a	Aethina tumida
KAH6716261.1	#8607cf	Leptodontidium sp. MPI-SDFR-AT-0119
KAE8833967.1	#8764c1	Pyrenophora teres
KFB46508.1	#d82d54	Anopheles sinensis
XP_027096178.1	#3e5e2b	Coffea arabica
KAH8171379.1	#c3af27	Sarocladium implicatum
CBI25830.3	#797b0a	Vitis vinifera
RXG60847.1	#5e5a9d	Armadillidium vulgare
KAI3836630.1	#942eea	Papaver armeniacum
KAH7115400.1	#9be11e	Dactylonectria estremocensis
KAH8663402.1	#edda46	Hymenoscyphus varicosporioides
KID93762.1	#95edd2	Metarhizium majus
GBG72523.1	#59b385	Chara braunii
KAG8745104.1	#3507ae	Ceratobasidium sp. 414
KAG9454118.1	#076070	Aristolochia fimbriata
HHJ20289.1	#c0625f	Gammaproteobacteria bacterium
XP_033441676.1	#88ea72	Daldinia childiae
EKG13090.1	#960386	Macrophomina phaseolina
KAF2743538.1	#44da67	Sporormia fimetaria
KZC07220.1	#9203ab	Dufourea novaeangliae
KAH8888536.1	#7e34fd	Thozetella sp. PMI_491
CAG9825513.1	#be9726	Phaedon cochleariae
XP_046490789.1	#702a13	Neodiprion pinetum
KAG8953719.1	#12a702	Tulasnella sp. 424
KAH8885006.1	#7e34fd	Thozetella sp. PMI_491
AEE63608.1	#c1a1e8	Dendroctonus ponderosae
CAH2721696.1	#a34609	Parascedosporium putredinis
KPI98957.1	#3903eb	Papilio xuthus
KAI4296679.1	#2e9a45	Bauhinia variegata
CCC55876.1	#5e82b6	Polydesmus angustus
QPL23783.1	#4862ca	Camellia sinensis
KUI74465.1	#adf9c7	Valsa mali
XP_048389184.1	#1344db	Stegostoma fasciatum
XP_033655253.1	#65a0c9	Westerdykella ornata
WP_123714758.1	#3d473e	nan
XP_018390770.1	#71bfaa	Alternaria alternata
KAI0156308.1	#061ff2	Pestalotiopsis sp. NC0098
XP_044691763.1	#38ff64	Morchella sextelata
KAF3917085.1	#239d8e	Dactylellina cionopaga
ANZ03352.1	#7c8901	Rhodnius prolixus
KAI0082073.1	#1ba423	Panus rudis
AAX69084.1	#df6f2a	Physcomitrium patens
RYC64738.1	#666530	Xylaria longipes
KAI0475366.1	#fee6d6	Xylariaceae sp. FL0804
KAH8194841.1	#a0bd97	Truncatella angustata
PON50737.1	#007848	Parasponia andersonii
CCC55880.1	#6c5f71	Polyxenus lagurus
XP_003651050.1	#f8d953	Thermothielavioides terrestris
KAH9507487.1	#c07b6a	Bulinus truncatus
KAF8538676.1	#956bd1	Trichophaea hybrida
CAG2203650.1	#2cc257	Mytilus edulis
MCJ1389657.1	#e4fa77	Xylographa bjoerkii
KAG6016128.1	#6fc258	Claviceps pusilla
KAF2303370.1	#dd3028	Hevea brasiliensis
XP_001885134.1	#25965a	Laccaria bicolor
KAI3786457.1	#d97395	Smallanthus sonchifolius
QRV80544.1	#490b49	Ceratobasidium sp. AG-Ba
XP_010756591.1	#723379	Paracoccidioides brasiliensis
KAH8602301.1	#7a544b	Bisporella sp. PMI_857
KAI0244529.1	#7ce125	Massospora cicadina
KAG8921548.1	#cefc73	Tulasnella sp. 417
KAE8740929.1	#c668a4	Frankliniella occidentalis
MCO5567192.1	#bcd5f7	Adiantum nelumboides
CAA0809461.1	#71b215	Striga hermonthica
XP_047752336.1	#c8528c	Psilocybe cubensis
KAF1968702.1	#e47fb7	Bimuria novae-zelandiae
RKP14640.1	#b3dd5e	Piptocephalis cylindrospora
WP_063772953.1	#d484d5	Scytonema tolypothrichoides
WP_176225157.1	#d6aa98	Methylomagnum ishizawai
AZM68736.1	#53eff0	Palaemon carinicauda
OMO76490.1	#f5906f	Corchorus capsularis
KAI4456158.1	#3fb2b6	Holotrichia oblita
XP_036588819.1	#7dd1bb	Colletotrichum truncatum
KAF4819289.1	#c715b6	Colletotrichum siamense
PIO72151.1	#9c9934	Teladorsagia circumcincta
KAF8421832.1	#549f79	Tirmania nivea
XP_022847641.1	#0271ee	Olea europaea
XP_013858691.1	#efe919	Austrofundulus limnaeus
XP_007387203.1	#c6db52	Punctularia strigosozonata
MCI0458471.1	#b76551	Gemmataceae bacterium
KAF1975455.1	#e47fb7	Bimuria novae-zelandiae
XP_007837583.1	#105cda	Pestalotiopsis fici
CAG9854814.1	#2b1d86	Phyllotreta striolata
KAI5448071.1	#50f328	Pisum sativum
WP_202122399.1	#30253a	Streptomyces sp. BA2
XP_038918318.1	#9862e8	Cantharellus anzutake
WP_170034899.1	#6470e9	Longimicrobium terrae
KAI0271792.1	#e6aaa7	Russula aff. rugulosa BPL654
XP_014790188.1	#48999e	Octopus bimaculoides
RKP07248.1	#0cfead	Thamnocephalis sphaerospora
KAF9672721.1	#82183c	Salix dunnii
GGT52810.1	#b0e7dc	Streptomyces purpureus
KAH8892164.1	#7e34fd	Thozetella sp. PMI_491
XP_011506305.1	#a6607d	Ceratosolen solmsi
EQB48366.1	#ac8821	Colletotrichum gloeosporioides
KAH9903835.1	#cf34b9	Xylariomycetidae sp. FL2044
KAG5979657.1	#5f38b5	Claviceps digitariae
XP_024703695.1	#82b759	Aspergillus steynii
CAG8953429.1	#406c3a	Hymenoscyphus fraxineus
GBG87041.1	#59b385	Chara braunii
KAF2666152.1	#a70c10	Microthyrium microscopicum
OAE31512.1	#a6ad27	Marchantia polymorpha
CAE46724.1	#73d77e	Homarus gammarus
KIV85884.1	#9556cf	Exophiala sideris
AGC55012.1	#443a64	Suaeda salsa
XP_014790639.1	#48999e	Octopus bimaculoides
KAF9530165.1	#cccb97	Crepidotus variabilis
WP_212423369.1	#bd253f	Bradyrhizobium sp. AUGA SZCCT0283
XP_022391107.1	#5ef737	Aspergillus bombycis
XP_022916615.1	#c3f624	Onthophagus taurus
KAH0741245.1	#da20c6	Solanum tuberosum
OSX80881.1	#b9b4c7	Porphyra umbilicalis
XP_023448752.1	#165a49	Cercospora beticola
KAI3542090.1	#0f6e9f	Colletotrichum abscissum
KAF8543727.1	#956bd1	Trichophaea hybrida
KKK19411.1	#edba4f	Aspergillus ochraceoroseus
WP_221339899.1	#bad768	Nonomuraea endophytica
EQB48367.1	#ac8821	Colletotrichum gloeosporioides
CAD5228641.1	#21dd25	Bursaphelenchus xylophilus
XP_043025961.1	#9845dc	Diaporthe citri
EPS45144.1	#ae7320	Dactylellina haptotyla
CAG5132263.1	#25e3db	Candidula unifasciata
KAH8349579.1	#70b54e	Drosophila pseudotakahashii
XP_008719873.1	#61a0d8	Cyphellophora europaea
RKP06673.1	#0cfead	Thamnocephalis sphaerospora
VDK59915.1	#0a9e7c	Anisakis simplex
XP_044143218.1	#ada4ef	Bufo gargarizans
XP_012280759.1	#aec8f1	Orussus abietinus
CAG8441087.1	#656792	Dentiscutata heterogama
KAF2829829.1	#0e01f1	Ophiobolus disseminans
XP_021949214.1	#abc98f	Folsomia candida
WP_089894324.1	#d921ff	Chitinophaga arvensicola
XP_049856056.1	#c65a7a	Schistocerca gregaria
XP_015914467.1	#6ba3a7	Parasteatoda tepidariorum
KAF9464005.1	#15fa84	Lepista nuda
XP_001905174.1	#b13833	Podospora anserina
XP_016757378.1	#adca9d	Sphaerulina musiva
RVX72796.1	#626def	Exophiala mesophila
KAF5127163.1	#f555c5	Metarhizium anisopliae
VDC02340.1	#0f003a	Peniophora sp. CBMAI 1063
MXY38605.1	#d62e0b	Rhodospirillaceae bacterium
CAE6470577.1	#5191aa	Rhizoctonia solani
KAH0642709.1	#da20c6	Solanum tuberosum
TVU14855.1	#6eb074	Eragrostis curvula
RYP23081.1	#a81005	Monosporascus sp. GIB2
PVH82847.1	#6e3a04	Cadophora sp. DSE1049
XP_003847727.1	#1c1bcd	Zymoseptoria tritici
RPB25627.1	#c32def	Terfezia boudieri
PVH78111.1	#6e3a04	Cadophora sp. DSE1049
XP_016756703.1	#adca9d	Sphaerulina musiva
KAH9909712.1	#cf34b9	Xylariomycetidae sp. FL2044
KAF7742750.1	#56cb3e	Entomophthora muscae
XP_024702781.1	#82b759	Aspergillus steynii
XP_004965883.1	#5d0d2c	Setaria italica
XP_044708526.1	#45db27	Fusarium poae
XP_030995030.1	#2b5c21	Thyridium curvatum
KAH9969746.1	#79e3d9	Russula dissimulans
XP_022581844.1	#675c00	Penicilliopsis zonata
GCC18807.1	#a7102b	Chiloscyllium punctatum
RYC58246.1	#666530	Xylaria longipes
WP_188270526.1	#3d473e	nan
CAH1402250.1	#cbbf99	Nezara viridula
KAF2822336.1	#0e01f1	Ophiobolus disseminans
KAI5071909.1	#9dee7b	Adiantum capillus-veneris
SMQ55142.1	#1c1bcd	Zymoseptoria tritici
RKL20285.1	#7b5e77	Fusarium oxysporum
XP_008600959.1	#094534	Beauveria bassiana
KFB48432.1	#d82d54	Anopheles sinensis
CUH82791.1	#2bf0d2	Argulus foliaceus
Q8T116.1	#0eb6cf	Scutigera coleoptrata
XP_023245051.1	#0b6e93	Copidosoma floridanum
RWR84494.1	#2eee1a	Cinnamomum micranthum
KAF6200526.1	#0081ba	Apolygus lucorum
KXX78619.1	#342ec7	Madurella mycetomatis
XP_044731626.1	#97f93e	Chrysoperla carnea
XP_020709551.2	#e4b3ae	Athalia rosae
XP_031076679.1	#c51ee9	Fusarium proliferatum
BAL15152.1	#dc235e	Penaeus japonicus
KAI4614101.1	#3d473e	nan
XP_023741652.1	#8148e8	Lactuca sativa
XP_035348883.1	#c5b561	Talaromyces rugulosus
GHG97595.1	#722eb3	Streptomyces rubradiris
KAI5463531.1	#dca557	Mariannaea sp. PMI_226
XP_030991802.1	#2b5c21	Thyridium curvatum
KAI0123787.1	#e2fa42	Xylariales sp. AK1849
KAF1355335.1	#55557b	Delphinella strobiligena
KAG0471350.1	#a550fe	Vanilla planifolia
CAG5132266.1	#25e3db	Candidula unifasciata
RVW23732.1	#797b0a	Vitis vinifera
XP_025586915.1	#d4ad27	Fusarium venenatum
VDP13001.1	#b96945	Onchocerca flexuosa
KAG8823547.1	#73af1a	Serendipita sp. 401
XP_003111038.1	#be9dd7	Caenorhabditis remanei
CEL51521.1	#5191aa	Rhizoctonia solani
KAB5518927.1	#3eac4f	Coniochaeta sp. 2T2.1
NP_492055.2	#03f401	Caenorhabditis elegans
PHT93295.1	#58945d	Capsicum annuum
RMD39541.1	#81666d	Chaetothyriales sp. CBS 134920
XP_037905738.1	#56b13c	Hermetia illucens
XP_016758932.1	#adca9d	Sphaerulina musiva
ORX86788.1	#e9d827	Basidiobolus meristosporus
KAI3675064.1	#d97395	Smallanthus sonchifolius
XP_001228655.1	#ddd6c9	Chaetomium globosum
XP_032527716.1	#6e63f9	Danaus plexippus
KAH8886964.1	#7e34fd	Thozetella sp. PMI_491
XP_018135981.1	#261af7	Pochonia chlamydosporia
RCN36004.1	#39ced5	Ancylostoma caninum
KAF2460042.1	#971dad	Lineolata rhizophorae
KAG8793441.1	#b1dd9c	Ceratobasidium sp. 428
KAG9356026.1	#9f43a2	Albula glossodonta
WP_188431840.1	#80522c	Ornithinimicrobium tianjinense
KAF8849927.1	#e43867	Acephala macrosclerotiorum
XP_008721165.1	#61a0d8	Cyphellophora europaea
XP_025400483.1	#7401ec	Aspergillus heteromorphus
MCO5558121.1	#bcd5f7	Adiantum nelumboides
KAA8594889.1	#abc347	Etheostoma spectabile
PSK33967.1	#d8c144	Elsinoe australis
CAD7455649.1	#8f61fd	Timema tahoe
RVD80225.1	#9872f4	Arthrobotrys flagrans
XP_021356572.1	#a02ab2	Mizuhopecten yessoensis
TFK66538.1	#2ac827	Pluteus cervinus
PBK73405.1	#9b66c7	Armillaria solidipes
XP_018148228.1	#261af7	Pochonia chlamydosporia
PQQ07200.1	#49247d	Prunus yedoensis
XP_042238970.1	#94f39d	Homarus americanus
KXN74971.1	#2fd49b	Conidiobolus coronatus
XP_042217140.1	#94f39d	Homarus americanus
MCJ1423362.1	#dc1110	Sticta canariensis
XP_039430147.1	#14e891	Culex pipiens
KZT70397.1	#8ff43c	Daedalea quercina
KAF2203556.1	#50e688	Delitschia confertaspora
WP_030558363.1	#726349	Streptomyces exfoliatus
CAB3267405.1	#4f6331	Phallusia mammillata
ORY14554.1	#080773	Clohesyomyces aquaticus
KAB5593114.1	#3fa14b	Ceratobasidium theobromae
KAI1711347.1	#0e5a10	Ditylenchus destructor
XP_024737544.1	#73f2ad	Hyaloscypha bicolor
XP_033754771.1	#e8aefe	Pecten maximus
AAC47391.1	#954918	Locusta migratoria
KAI4190891.1	#33b0e3	Letrouitia leprolyta
KAG8983085.1	#4be163	Tulasnella sp. JGI-2019a
KAF8637719.1	#be5317	Amanita inopinata
KAH8898790.1	#7e34fd	Thozetella sp. PMI_491
KAF8178954.1	#55fa85	Pholiota molesta
XP_011255340.2	#0339fa	Camponotus floridanus
KZS90383.1	#eb75db	Sistotremastrum niveocremeum
KAB5511589.1	#3eac4f	Coniochaeta sp. 2T2.1
RIA97854.1	#8467d2	Glomus cerebriforme
KAF2690201.1	#f17375	Lentithecium fluviatile
XP_006459596.1	#73a770	Agaricus bisporus
WP_085580659.1	#3d473e	nan
OXU26739.1	#cc2203	Trichomalopsis sarcophagae
KNE58223.1	#31e843	Allomyces macrogynus
EGT48025.1	#325521	Caenorhabditis brenneri
KAI4374109.1	#dcc070	Melastoma candidum
MCJ1334210.1	#34cca2	Thelotrema lepadinum
RPA87212.1	#b9a0dc	Ascobolus immersus
KAG8711521.1	#5d198e	Ceratobasidium sp. 423
CAG8958332.1	#406c3a	Hymenoscyphus fraxineus
KAF5291756.1	#a93ab0	Lamprigera yunnana
AGI42860.1	#40a5e5	Penaeus chinensis
AGT28746.1	#28ac30	Coreopsis grandiflora
VDI36592.1	#380da1	Mytilus galloprovincialis
CAG8544289.1	#0974ab	Acaulospora colombiana
TAQ86943.1	#5192c9	Chlorociboria aeruginascens
CAH1376321.1	#56ff8e	Tenebrio molitor
KAH9303990.1	#cbced2	Taxus chinensis
EYC41981.1	#db9b1f	Ancylostoma ceylanicum
KAH9983306.1	#2e1afb	Russula compacta
XP_037906944.1	#56b13c	Hermetia illucens
OAL50042.1	#2b6d00	Pyrenochaeta sp. DS3sAY3a
RYP66618.1	#c85bfa	Monosporascus sp. 5C6A
KAF9529259.1	#cccb97	Crepidotus variabilis
WP_215179726.1	#c2125d	Streptomyces sp. ISL-10
VDP12492.1	#5b10c7	Soboliphyme baturini
KAA8540488.1	#9ff576	Nyssa sinensis
KAH4109359.1	#2bac35	Parastagonospora nodorum
ABJ90144.1	#fc274c	Annona cherimola
AAZ99030.1	#60a6d5	Perla grandis
OEL13913.1	#7407ae	Dichanthelium oligosanthes
XP_049251885.1	#5de1e5	Alternaria novae-zelandiae
XP_033462716.1	#42568a	Dissoconium aciculare
XP_016595732.1	#486856	Penicillium expansum
OCK82998.1	#dc4b33	Lepidopterella palustris
VDP65479.1	#a3f50a	Schistosoma mattheei
XP_009216839.1	#d8e6f5	Gaeumannomyces tritici
RYP42662.1	#5cc470	Monosporascus sp. MG133
XP_018184017.1	#f595df	Purpureocillium lilacinum
KAF3659228.1	#58945d	Capsicum annuum
KAF7056216.1	#e09a2f	Triticum aestivum
KAF7375353.1	#40cbd6	Mycena sanguinolenta
XP_046013047.1	#40e548	Microdochium trichocladiopsis
PSN73923.1	#d768dc	Corynespora cassiicola
GAT57033.1	#b5907c	Mycena chlorophos
AAM44045.1	#32b188	Apriona germari
KAF4216577.1	#a1e6e9	Aspergillus fumigatiaffinis
KAF2023949.1	#8766e1	Setomelanomma holmii
KAF2848810.1	#9bc69c	Plenodomus tracheiphilus
